advertiser_name,Category,Relevent_Score
Rippling,Finance,0
Amazon.co.jp - English,Finance,0
Pigtail Pundits,Finance,0
Remote Tips,Other,-1
Crossover,eCommerce,1
comTalks.com,Media,0
theorangebeans,Media,0
Tray.io,Media,0
Blooom Inc.,Media,0
L.A. Blockchain Summit,Other,-1
100130874778177,Other,-1
Socialfly,Media,1
VICTOR Super Premium Pet Food,Other,-1
WMcCann Brasil,Election,1
Bristol Who's Who,eCommerce,1
Frame.io,Other,-1
LaunchDarkly,Software,0
NS8,Other,-1
GEICO,Other,-1
Allstate,Other,-1
Puja Nayyars Closet,Software,0
Neo Media World,Other,-1
Feld Entertainment,Other,-1
Reprise NYC,Finance,0
Jclub,eCommerce,-1
Oportun,Other,-1
Craft Sportswear US,Other,-1
BM350 Thanh 336,Other,-1
SmartAsset.com,Other,-1
bubly,Other,-1
Copper,Food,1
Rezonate Media,Other,-1
Twogether,Other,-1
LoyltyRewardz_5,Finance,-1
Vizeum - US,Media,0
adverity,Other,-1
Digital Marketing Group,eCommerce,0
Pacifica Companies,Other,-1
ServiceNow,Election,0
Hong Kong Zoom Interactive Network Marketing Technology Limited,Finance,0
Launchpad Ignite,Other,-1
Mack Weldon,Other,-1
Betterment,Other,-1
Leap,Education,1
Publicis Media,Media,0
T-Mobile,Other,-1
Adventus.io,Other,-1
MMI Agency,Other,-1
Adobe Marketo Engage,Other,-1
Algolia,Software,0
20th Century Studios Home Entertainment,Software,1
24/7 Laundry Service,Other,-1
UM Canada,Other,-1
Ramp,Finance,-1
Facebook App,Other,-1
Rollic,Other,-1
Wyndham Hotels & Resorts,Software,-1
Searchspring,Media,1
Innonic,Other,-1
KinderCare Learning Centers,Other,-1
CityPASS,Other,-1
Handy,Other,-1
Typeform,Other,-1
Adaptly,Finance,0
WM Paramount,Other,-1
Maple Things,Software,-1
Shutterfly,Other,-1
indico,eCommerce,1
180byTwo,Other,-1
Julia pham,Other,-1
Veggie Grill,Other,-1
Infinite Agency-GW,eCommerce,0
Business Insider,eCommerce,0
Allstate Identity Protection,eCommerce,0
Asurion,Other,-1
Linux Foundation Events,Food,1
Nutanix,Other,-1
Medium,eCommerce,0
Old Navy,Other,-1
We Are Saatchi,Other,-1
Opendoor,eCommerce,0
Lucidchart,Software,-1
24x7 WordPress Support Desk,Other,-1
Prologic Web Design,Other,-1
EA - Electronic Arts,Software,1
Code Climate,Other,-1
Tráº§n Thá» QuyÃªn,Software,1
Genesys,Other,-1
App in the Air,Other,-1
Winc,Finance,0
Sandbox Kids,Software,-1
Office,Other,-1
Essence,Finance,-1
BULQ,Media,1
JetPex,Education,0
Samba TV,Other,-1
LinkedIn,Media,0
DataStax,Media,0
DRI Yard House,Other,-1
Playtika - Jelly Button Games,Other,-1
Maybelline New York,Other,-1
VaynerMedia,Other,-1
Disney,eCommerce,1
Empiricus,Media,1
Resonate,Food,1
Drive with Lyft,Other,-1
Acxiom,Other,-1
Be The Match,Other,-1
WynnBET,Other,-1
Barkley,Other,-1
GSK,Other,-1
Fandango,Finance,0
truth,eCommerce,0
eBay.co.uk,Other,-1
Rewind,Other,-1
Teladoc,Other,-1
Carat - MSFT - USA,Election,1
BVK,Media,0
CanvasPeople,Other,-1
Bridg Channel,Other,-1
Spark Foundry USA,Other,-1
Semalt new marketing,Other,-1
Zillow,Other,-1
Salesforce,Other,-1
Nalli,Other,-1
GoNoodle,eCommerce,0
VMware Tanzu,eCommerce,1
BSSP,Other,-1
Scheels,Other,-1
Grammarly,Other,-1
Social Lab NY,Other,-1
Today,Other,-1
Bluefocus,Other,-1
Wolfspeed,Other,-1
Social Fulcrum,Other,-1
Udacity,Other,-1
Quicken Loans,eCommerce,0
QuizUp,Food,0
Naukri.com,Other,-1
Digital Marketing,Other,-1
Cage Point,Food,0
Deloitte Digital,Other,-1
Freckle IoT,eCommerce,0
Sisense,Media,0
Fine Arts Museums of San Francisco,Software,1
Coegi,Other,-1
Atakama,Other,-1
Build the Wave,Other,-1
ARM Worldwide,Other,-1
Egnyte,Finance,0
SVF,Finance,-1
22squared,Finance,0
Starcom USA,Other,-1
Firestone Complete Auto Care,eCommerce,1
GrowthDay,Media,0
Rebtel,Media,0
Harbor Freight,Media,0
JetBlue,Media,0
Toys''R''Us,Other,-1
Twilio,Other,-1
ADARA,Media,1
SOCIALDEALER,Other,-1
AGW,Election,1
Ashley HomeStore,eCommerce,1
Gtmhub Ltd.,Other,-1
Cathay åæ³°,Software,-1
UM NY,Other,-1
Walt Disney World,Other,-1
Socialyse USD,Other,-1
Strayer University,Software,-1
Fedyna Services Limited,Other,-1
Uber,Other,-1
Smile Direct Club,Finance,0
Critical Mass,eCommerce,0
Deep Red Ink,Other,-1
Monster,Other,-1
Kelly Scott Madison,Other,-1
AE Powerwin BM,Other,-1
Perry Ellis International,Other,-1
Domino's Pizza,Food,1
Amazon Used & Refurbished,Other,-1
Valassis,Other,-1
Penrose Hill Winery,Finance,0
Finserv MARKETS,Media,0
TurboTax,Other,-1
getabstract.com,eCommerce,0
IProspect NY,Other,-1
Expedia,Election,0
Groupon Inc.,Finance,0
Assembly,Other,-1
EsquireAdvertising,Other,-1
Appian,Other,-1
LiveRamp,Education,1
Brandfolder,Media,0
Buffalo Studios,Other,-1
ODC CA,Other,-1
Walmart.com,Other,-1
Amazon.com,Other,-1
PAYBACK India,Software,-1
Jay Advertising,Software,1
American Home Shield,Other,-1
